Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
CoRoT-10 b,Confirmed,2.75,0.97,0.000306,0.1055,2010,Published in a refereed paper,Primary Transit,,,CoRoT-10,345,0.89,0.79
CoRoT-11 b,Confirmed,2.33,1.43,7.80E-05,0.04351,2010,Published in a refereed paper,Primary Transit,,,CoRoT-11,560,1.27,1.36
CoRoT-12 b,Confirmed,0.917,1.44,3.50E-05,0.04016,2010,Published in a refereed paper,Primary Transit,,,CoRoT-12,1150,1.078,1.116
CoRoT-13 b,Confirmed,1.308,0.885,3.90E-05,0.051,2010,Published in a refereed paper,Primary Transit,,,CoRoT-13,1310,1.09,1.01
CoRoT-14 b,Confirmed,7.6,1.09,2.00E-05,0.027,2010,Published in a refereed paper,Primary Transit,,,CoRoT-14,1340,1.13,1.21
CoRoT-15 b,Confirmed,63.4,1.12,,0.045,2010,Published in a refereed paper,Primary Transit,,,CoRoT-15,,,
CoRoT-16 b,Confirmed,0.535,1.17,7.40E-05,0.0618,2010,Published in a refereed paper,Primary Transit,,,CoRoT-16,840,1.098,1.19
CoRoT-17 b,Confirmed,2.43,1.02,5.00E-05,0.0461,2010,Published in a refereed paper,Primary Transit,,,CoRoT-17,920,1.04,1.59
CoRoT-18 b,Confirmed,3.47,1.31,3.40E-05,0.0295,2011,Published in a refereed paper,Primary Transit,,,CoRoT-18,870,0.95,1
CoRoT-19 b,Confirmed,1.11,1.29,6.50E-05,0.0518,2011,Published in a refereed paper,Primary Transit,,,CoRoT-19,800,1.21,1.65
CoRoT-2 b,Confirmed,3.31,1.465,9.40E-05,0.0281,2007,Published in a refereed paper,Primary Transit,,,CoRoT-2,300,0.97,0.902
CoRoT-20 b,Confirmed,4.24,0.84,7.30E-05,0.0902,2011,Published in a refereed paper,Primary Transit,,,CoRoT-20,1230,1.14,0.92
CoRoT-21 b,Confirmed,2.26,1.3,,0.0417,2011,Published in a refereed paper,Primary Transit,,,CoRoT-21,,1.29,1.945
CoRoT-22 b,Confirmed,0.06,0.4354,0.000149,0.092,2011,Announced on a professional conference,Primary Transit,,,CoRoT-22,592,1.099,1.136
CoRoT-23 b,Confirmed,2.8,1.08,8.00E-05,0.0477,2011,Published in a refereed paper,Primary Transit,,,CoRoT-23,600,1.14,1.61
CoRoT-24 b,Confirmed,0.018,0.33,9.30E-05,0.056,2011,Published in a refereed paper,Primary Transit,,,CoRoT-24,600,0.91,0.86
CoRoT-24 c,Confirmed,0.088,0.44,0.000163,0.098,2011,Published in a refereed paper,Primary Transit,,,CoRoT-24,600,0.91,0.86
CoRoT-25 b,Confirmed,0.27,1.08,,0.0578,2012,Published in a refereed paper,Primary Transit,,,CoRoT-25,1000,1.09,1.19
CoRoT-26 b,Confirmed,0.52,1.26,,0.0526,2012,Published in a refereed paper,Primary Transit,,,CoRoT-26,1670,1.09,1.79
CoRoT-27 b,Confirmed,10.39,1.007,,0.0476,2012,Published in a refereed paper,Primary Transit,,,CoRoT-27,,1.05,1.08
CoRoT-28 b,Confirmed,,0.955,,0.059,2012,Published in a refereed paper,Primary Transit,,,CoRoT-28,560,1.01,1.78
CoRoT-29 b,Confirmed,0.85,0.9,,0.039,2012,Published in a refereed paper,Primary Transit,,,CoRoT-29,765,0.976,0.9
CoRoT-3 b,Confirmed,21.66,1.19,8.40E-05,0.057,2008,Published in a refereed paper,Primary Transit,,,CoRoT-3,680,1.41,1.44
CoRoT-30 b,Confirmed,2.9,1.009,,0.0844,2017,Published in a refereed paper,Primary Transit,,,CoRoT-30,960,0.98,0.91
CoRoT-31 b,Confirmed,0.84,1.46,,0.0586,2017,Published in a refereed paper,Primary Transit,,,CoRoT-31,2190,1.25,2.15
CoRoT-32 b,Confirmed,0.15,0.57,,0.071,2017,Published in a refereed paper,Primary Transit,,,CoRoT-32,,1.09,0.79
CoRoT-33 b,Confirmed,59.2,1.1,,0.0579,2015,Published in a refereed paper,Primary Transit,,,CoRoT-33,,0.86,0.94
CoRoT-4 b,Confirmed,0.72,1.19,,0.09,2008,Published in a refereed paper,Primary Transit,,,CoRoT-4,,1.1,1.15
CoRoT-5 b,Confirmed,0.467,1.33,0.000124,0.04947,2008,Published in a refereed paper,Primary Transit,,,CoRoT-5,400,1,1.186
CoRoT-6 b,Confirmed,2.96,1.166,,0.0855,2009,Published in a refereed paper,Primary Transit,,,CoRoT-6,,1.055,1.025
CoRoT-7 b,Confirmed,0.0149,0.136,0.000115,0.0172,2009,Published in a refereed paper,Primary Transit,,,CoRoT-7,150,0.93,0.87
CoRoT-7 c,Confirmed,0.04266,,0.000307,0.046,2009,Published in a refereed paper,Radial Velocity,,,CoRoT-7,150,0.93,0.87
CoRoT-8 b,Confirmed,0.2158,0.5692,0.000166,0.063,2010,Published in a refereed paper,Primary Transit,,,CoRoT-8,380,0.88,0.77
CoRoT-9 b,Confirmed,0.84,0.94,0.000885,0.407,2010,Published in a refereed paper,Primary Transit,,,CoRoT-9,460,0.99,0.94
Corot-20 c,Confirmed,,,,2.9,2018,Published in a refereed paper,Radial Velocity,,,CoRoT-20,1230,1.14,0.92
DE CVn b,Confirmed,,,,5.75,2018,Published in a refereed paper,TTV,,,DE CVn,,,
DE0823-49 b,Confirmed,31.5,,,0.36,2013,Published in a refereed paper,Imaging,,,DE0823-49,20.69,0.045,
DH Tau b,Confirmed,11,,,330,2005,Published in a refereed paper,Imaging,,"CO, H2O",DH Tau,,0.37,
DP Leo (AB) b,Confirmed,6.05,,,8.19,2009,Published in a refereed paper,Timing,,,DP Leo (AB),,0.69,
DS Tuc A b,Confirmed,0.088,0.5085,,0.0795,2019,Published in a refereed paper,Primary Transit,"HD 222259 A b, TIC 4102214986 b",,DS Tuc A,44.12,0.959,0.872
DW Lyn b,Confirmed,,,,1.148,2013,Published in a refereed paper,Timing,,,DW Lyn,,,
DW Uma b,Confirmed,,,,5.8,2016,Published in a refereed paper,Radial Velocity,,,DW Uma,,,
EPIC  211945201 b,Confirmed,0.085,0.546,,0.148,2018,Published in a refereed paper,Primary Transit,,,EPIC  211945201,182.6,1.18,1.38
EPIC 201128338 b,Confirmed,,0.251,,0.1735,2017,Published in a refereed paper,Primary Transit,,,EPIC 201128338,112,0.654,0.631
EPIC 201295312 b,Confirmed,0.0379,0.245,,,2016,Published in a refereed paper,Primary Transit,,,EPIC 201295312,,1.13,1.52
EPIC 201598502 b,Confirmed,,0.178,,0.601,2017,Published in a refereed paper,Primary Transit,,,EPIC 201598502,126,0.512,0.495
EPIC 203826436 b,Confirmed,,0.144,,,2015,Published in a refereed paper,Primary Transit,,,EPIC 203826436,,0.9,0.85
EPIC 203826436 c,Confirmed,,0.245,,,2015,Published in a refereed paper,Primary Transit,,,EPIC 203826436,,0.9,0.85
EPIC 203826436 d,Confirmed,,0.244,,,2015,Published in a refereed paper,Primary Transit,,,EPIC 203826436,,0.9,0.85
EPIC 205084841 b,Confirmed,0.3883,1.561,,0.104,2016,Published in a refereed paper,Primary Transit,,,EPIC 205084841,860.4,1.168,1.313
EPIC 206011691 b,Confirmed,,0.142,,0.0731,2015,Published in a refereed paper,Primary Transit,,,EPIC 206011691,65,0.64,0.6
EPIC 206011691 c,Confirmed,,0.171,,0.1026,2015,Published in a refereed paper,Primary Transit,,,EPIC 206011691,65,0.64,0.6
EPIC 206061524 b,Confirmed,,0.978,,0.0563,2016,Published in a refereed paper,Primary Transit,2MASS J22201376-1306526 b,,EPIC 206061524,284.84,,
EPIC 210894022 b,Confirmed,0.027,0.17,,0.0621,2017,Published in a refereed paper,Radial Velocity,K2-111 b,,EPIC 210894022,210,0.89,1.23
EPIC 211331236 b,Confirmed,,0.181,,0.0188,2017,Published in a refereed paper,Primary Transit,,,EPIC 211331236,100,0.532,0.513
EPIC 211331236 c,Confirmed,,0.173,,0.0491,2017,Published in a refereed paper,Primary Transit,,,EPIC 211331236,100,0.532,0.513
EPIC 211391664 b,Confirmed,0.101,0.38,,0.0943,2016,Published in a refereed paper,Primary Transit,"2MASS 08255719+1130402 b, UCAC 508-047859 b",,EPIC 211391664,435,1.074,1.311
EPIC 211418729 b,Confirmed,1.85,0.942,,0.09309,2017,Published in a refereed paper,Primary Transit,K2-114 b,,EPIC 211418729,481,0.832,0.828
EPIC 211442297 b,Confirmed,0.84,1.115,,0.1367,2017,Published in a refereed paper,Primary Transit,K2_215 b,,EPIC 211442297,417,0.831,0.881
EPIC 211822797 b,Confirmed,,0.2,,,2016,Published in a refereed paper,Primary Transit,,,EPIC 211822797,,0.61,0.59
EPIC 211913977 b,Confirmed,,0.18,,,2016,Published in a refereed paper,Primary Transit,,,EPIC 211913977,,0.8,0.73
EPIC 211939692.01,Confirmed,,0.232,,,2019,Published in a refereed paper,Primary Transit,,,EPIC 211939692,,1.22,1.29
EPIC 211939692.02,Confirmed,,0.232,,,2019,Published in a refereed paper,Primary Transit,,,EPIC 211939692,,1.22,1.29
EPIC 211969807 b,Confirmed,,0.17,,,2016,Published in a refereed paper,Primary Transit,,,EPIC 211969807,,0.51,0.48
EPIC 211970147 b,Confirmed,,0.12,,,2016,Published in a refereed paper,Primary Transit,,,EPIC 211970147,,0.77,0.71
EPIC 212006344 b,Confirmed,,0.109,,0.0288,2017,Published in a refereed paper,Primary Transit,,,EPIC 212006344,74,0.644,0.612
EPIC 212036875 b,Confirmed,51,0.83,,0.0621,2019,Published in a refereed paper,Primary Transit,EPIC 212036875 b,,EPIC 212036875,,1.1241,1.4
EPIC 212069861 b,Confirmed,,0.237,,0.1641,2017,Published in a refereed paper,Primary Transit,,,EPIC 212069861,156,0.615,0.592
EPIC 212737443 b,Confirmed,0.02907,0.23071,,0.098,2019,Published in a refereed paper,Primary Transit,,,EPIC 212737443,347.5,0.69,0.673
EPIC 212737443 c,Confirmed,0.0303,0.24,,0.28,2019,Published in a refereed paper,Primary Transit,,,EPIC 212737443,347.5,0.69,0.673
EPIC 213715787 b,Confirmed,,0.123,,0.0159,2017,Published in a refereed paper,Primary Transit,,,EPIC 213715787,88,0.583,0.554
EPIC 219388192 b,Confirmed,36,0.846,,0.0593,2016,Published in a refereed paper,Primary Transit,CWW 89A b,,EPIC 219388192,300,0.99,1.01
EPIC 220194974 b,Confirmed,,0.119,,0.0454,2017,Published in a refereed paper,Primary Transit,,,EPIC 220194974,121,0.65,0.632
EPIC 220194974 c,Confirmed,,0.154,,0.0616,2017,Published in a refereed paper,Primary Transit,,,EPIC 220194974,121,0.65,0.632
EPIC 220194974 d,Confirmed,,0.146,,0.0774,2017,Published in a refereed paper,Primary Transit,,,EPIC 220194974,121,0.65,0.632
EPIC 220501947 b,Confirmed,0.336,0.947,,0.0467,2018,Published in a refereed paper,Primary Transit,,,EPIC 220501947,234,,0.71
EPIC 220504338 b,Confirmed,1.28,0.91,,0.0575,2016,Published in a refereed paper,Primary Transit,,,EPIC 220504338,553.4,1.007,1.047
EPIC 220522664 b,Confirmed,,0.146,,0.083,2017,Published in a refereed paper,Primary Transit,,,EPIC 220522664,118,0.595,0.568
EPIC 220598331 b,Confirmed,,0.178,,0.0727,2017,Published in a refereed paper,Primary Transit,,,EPIC 220598331,110,0.457,0.436
EPIC 220621087 b,Confirmed,,0.12,,0.0365,2017,Published in a refereed paper,Primary Transit,,,EPIC 220621087,62.7,0.44,0.429
EPIC 228754001 b,Confirmed,0.495,1.089,,0.0916,2017,Published in a refereed paper,Primary Transit,K2-132 b,,EPIC 228754001,,1.19,4.11
EPIC 228934525 b,Confirmed,,0.199,,0.0408,2017,Published in a refereed paper,Primary Transit,,,EPIC 228934525,133,0.672,0.649
EPIC 228934525 c,Confirmed,,0.187,,0.0683,2017,Published in a refereed paper,Primary Transit,,,EPIC 228934525,133,0.672,0.649
EPIC 246851721 b,Confirmed,5.74,1.004,,0.07239,2018,Published in a refereed paper,Primary Transit,,,EPIC 246851721,376,1.324,1.624
EPIC 247267267 b,Confirmed,,0.2471,,0.04771,2018,Published in a refereed paper,Primary Transit,,,EPIC 247267267,107.6,0.63,0.607
EPIC 248435473 b,Confirmed,,0.259,,0.01283,2018,Published in a refereed paper,Radial Velocity,,,EPIC 248435473,69.6,0.67,0.649
EPIC 248435473 c,Confirmed,,0.05683,,0.06674,2018,Published in a refereed paper,Radial Velocity,,,EPIC 248435473,69.6,0.67,0.649
EPIC 248435473 d,Confirmed,,0.23588,,0.1017,2018,Published in a refereed paper,Radial Velocity,,,EPIC 248435473,69.6,0.67,0.649
EPIC 248435473 e,Confirmed,,0.21822,,0.1227,2018,Published in a refereed paper,Radial Velocity,,,EPIC 248435473,69.6,0.67,0.649
EPIC 248545986 b,Confirmed,0.0044,0.098,,0.0441,2018,Published in a refereed paper,Primary Transit,K2-239 b,,EPIC 248545986,49,0.4,0.36
EPIC 248545986 c,Confirmed,0.0028,0.089,,0.0576,2018,Published in a refereed paper,Primary Transit,K2-239 c,,EPIC 248545986,49,0.4,0.36
EPIC 248545986 d,Confirmed,0.0041,0.098,,0.0685,2018,Published in a refereed paper,Primary Transit,K2-239 d,,EPIC 248545986,49,0.4,0.36
