Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
Kepler-139 c,Confirmed,,0.302,,0.586,2014,Announced on a website,Primary Transit,,,Kepler-139,,1.08,1.3
Kepler-1390 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-1390,760,0.98,0.98
Kepler-1391 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-1391,721,1.03,1.1
Kepler-1392 b,Confirmed,,0.175,,,2016,Announced on a website,Primary Transit,,,Kepler-1392,1117,0.88,0.85
Kepler-1393 b,Confirmed,,0.071,,,2016,Announced on a website,Primary Transit,,,Kepler-1393,462,0.95,0.92
Kepler-1394 b,Confirmed,,0.124,,,2016,Announced on a website,Primary Transit,,,Kepler-1394,820,1.64,2.55
Kepler-1395 b,Confirmed,,0.071,,,2016,Announced on a website,Primary Transit,,,Kepler-1395,507,1.17,1.23
Kepler-1396 b,Confirmed,,0.185,,,2016,Announced on a website,Primary Transit,,,Kepler-1396,1236,1.18,1.27
Kepler-1397 b,Confirmed,,0.153,,,2016,Announced on a website,Primary Transit,,,Kepler-1397,770,1.09,1.12
Kepler-1398 b,Confirmed,,0.08,,,2016,Announced on a website,Primary Transit,,,Kepler-1398,793,1.13,1.18
Kepler-1398 c,Confirmed,,0.092,,,2016,Announced on a website,Primary Transit,,,Kepler-1398,793,1.13,1.18
Kepler-1399 b,Confirmed,,0.112,,,2016,Announced on a website,Primary Transit,,,Kepler-1399,1256,0.97,0.96
Kepler-14 A b,Confirmed,8.4,1.136,,,2011,Published in a refereed paper,Primary Transit,Kepler-14 b,,Kepler-14 A,980,1.512,2.048
Kepler-140 b,Confirmed,,0.144,,0.045,2014,Announced on a website,Primary Transit,,,Kepler-140,,,1.29
Kepler-140 c,Confirmed,,0.161,,0.414,2014,Announced on a website,Primary Transit,,,Kepler-140,,,1.29
Kepler-1400 b,Confirmed,,0.145,,,2016,Announced on a website,Primary Transit,,,Kepler-1400,879,0.83,0.78
Kepler-1401 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-1401,1242,1.07,1.1
Kepler-1402 b,Confirmed,,0.068,,,2016,Announced on a website,Primary Transit,,,Kepler-1402,681,0.9,0.87
Kepler-1403 b,Confirmed,,0.191,,,2016,Announced on a website,Primary Transit,,,Kepler-1403,1801,1.11,1.15
Kepler-1404 b,Confirmed,,0.179,,,2016,Announced on a website,Primary Transit,,,Kepler-1404,946,0.84,0.8
Kepler-1405 b,Confirmed,,0.353,,,2016,Announced on a website,Primary Transit,,,Kepler-1405,1605,1.05,1.07
Kepler-1406 b,Confirmed,,0.098,,,2016,Announced on a website,Primary Transit,,,Kepler-1406,587,1.05,1.12
Kepler-1407 b,Confirmed,,0.201,,,2016,Announced on a website,Primary Transit,,,Kepler-1407,1275,1.1,1.15
Kepler-1408 b,Confirmed,,0.079,,,2016,Announced on a website,Primary Transit,,,Kepler-1408,426,1.21,1.35
Kepler-1409 b,Confirmed,,0.093,,,2016,Announced on a website,Primary Transit,,,Kepler-1409,722,0.83,0.79
Kepler-141 b,Confirmed,,0.062,,0.039,2014,Announced on a website,Primary Transit,,,Kepler-141,,1,0.79
Kepler-141 c,Confirmed,,0.126,,0.067,2014,Announced on a website,Primary Transit,,,Kepler-141,,1,0.79
Kepler-1410 b,Confirmed,,0.159,,,2016,Announced on a website,Primary Transit,,,Kepler-1410,367,0.63,0.6
Kepler-1411 b,Confirmed,,0.252,,,2016,Announced on a website,Primary Transit,,,Kepler-1411,1431,0.95,0.92
Kepler-1412 b,Confirmed,,0.074,,,2016,Announced on a website,Primary Transit,,,Kepler-1412,639,1.06,1.27
Kepler-1413 b,Confirmed,,0.162,,,2016,Announced on a website,Primary Transit,,,Kepler-1413,1162,0.84,0.8
Kepler-1414 b,Confirmed,,0.11,,,2016,Announced on a website,Primary Transit,,,Kepler-1414,534,0.8,0.75
Kepler-1415 b,Confirmed,,0.115,,,2016,Announced on a website,Primary Transit,,,Kepler-1415,1066,0.89,0.84
Kepler-1416 b,Confirmed,,0.079,,,2016,Announced on a website,Primary Transit,,,Kepler-1416,807,1.09,1.15
Kepler-1417 b,Confirmed,,0.089,,,2016,Announced on a website,Primary Transit,,,Kepler-1417,656,1.02,1.02
Kepler-1418 b,Confirmed,,0.148,,,2016,Announced on a website,Primary Transit,,,Kepler-1418,499,0.77,0.72
Kepler-1419 b,Confirmed,,0.255,,,2016,Announced on a website,Primary Transit,,,Kepler-1419,1444,1.01,1.01
Kepler-142 b,Confirmed,,0.178,,0.032,2014,Announced on a website,Primary Transit,,,Kepler-142,,0.99,1.27
Kepler-142 c,Confirmed,,0.255,,0.057,2014,Announced on a website,Primary Transit,,,Kepler-142,,0.99,1.27
Kepler-142 d,Confirmed,,0.193,,0.242,2014,Announced on a website,Primary Transit,,,Kepler-142,,0.99,1.27
Kepler-1420 b,Confirmed,,0.114,,,2016,Announced on a website,Primary Transit,,,Kepler-1420,923,0.82,0.79
Kepler-1421 b,Confirmed,,0.083,,,2016,Announced on a website,Primary Transit,,,Kepler-1421,675,1.25,1.42
Kepler-1422 b,Confirmed,,0.18,,,2016,Announced on a website,Primary Transit,,,Kepler-1422,2081,1.15,1.23
Kepler-1423 b,Confirmed,,0.095,,,2016,Announced on a website,Primary Transit,,,Kepler-1423,449,0.79,0.75
Kepler-1424 b,Confirmed,,0.103,,,2016,Announced on a website,Primary Transit,,,Kepler-1424,620,1.02,1.07
Kepler-1425 b,Confirmed,,0.084,,,2016,Announced on a website,Primary Transit,,,Kepler-1425,499,0.97,0.95
Kepler-1426 b,Confirmed,,0.139,,,2016,Announced on a website,Primary Transit,,,Kepler-1426,1211,1.02,1.02
Kepler-1427 b,Confirmed,,0.098,,,2016,Announced on a website,Primary Transit,,,Kepler-1427,1220,1.01,1.01
Kepler-1428 b,Confirmed,,0.146,,,2016,Announced on a website,Primary Transit,,,Kepler-1428,802,1.28,1.36
Kepler-1429 b,Confirmed,,0.115,,,2016,Announced on a website,Primary Transit,,,Kepler-1429,1156,1.05,1.07
Kepler-143 b,Confirmed,,0.215,,0.127,2014,Announced on a website,Primary Transit,,,Kepler-143,,,1.36
Kepler-143 c,Confirmed,,0.301,,0.181,2014,Announced on a website,Primary Transit,,,Kepler-143,,,1.36
Kepler-1430 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-1430,541,0.77,0.72
Kepler-1431 b,Confirmed,,0.131,,,2016,Announced on a website,Primary Transit,,,Kepler-1431,1270,1.03,1.03
Kepler-1432 b,Confirmed,,0.198,,,2016,Announced on a website,Primary Transit,,,Kepler-1432,1552,1.09,1.13
Kepler-1433 b,Confirmed,,0.139,,,2016,Announced on a website,Primary Transit,,,Kepler-1433,1328,1.14,1.19
Kepler-1434 b,Confirmed,,0.099,,,2016,Announced on a website,Primary Transit,,,Kepler-1434,680,1.47,2.04
Kepler-1435 b,Confirmed,,0.077,,,2016,Announced on a website,Primary Transit,,,Kepler-1435,681,1.21,1.32
Kepler-1436 b,Confirmed,,0.117,,,2016,Announced on a website,Primary Transit,,,Kepler-1436,1142,1.06,1.09
Kepler-1437 b,Confirmed,,0.122,,,2016,Announced on a website,Primary Transit,,,Kepler-1437,1182,0.93,0.9
Kepler-1438 b,Confirmed,,0.084,,,2016,Announced on a website,Primary Transit,,,Kepler-1438,866,0.97,0.96
Kepler-1439 b,Confirmed,,0.13,,,2016,Announced on a website,Primary Transit,,,Kepler-1439,215,0.46,0.43
Kepler-144 b,Confirmed,,0.119,,0.066,2014,Announced on a website,Primary Transit,,,Kepler-144,,1.03,1.24
Kepler-144 c,Confirmed,,0.12,,0.094,2014,Announced on a website,Primary Transit,,,Kepler-144,,1.03,1.24
Kepler-1440 b,Confirmed,,0.112,,,2016,Announced on a website,Primary Transit,,,Kepler-1440,685,0.98,0.96
Kepler-1441 b,Confirmed,,0.117,,,2016,Announced on a website,Primary Transit,,,Kepler-1441,751,1,1
Kepler-1442 b,Confirmed,,0.351,,,2016,Announced on a website,Primary Transit,,,Kepler-1442,525,1.34,1.44
Kepler-1443 b,Confirmed,,0.087,,,2016,Announced on a website,Primary Transit,,,Kepler-1443,475,1.19,1.27
Kepler-1444 b,Confirmed,,0.194,,,2016,Announced on a website,Primary Transit,,,Kepler-1444,340,1.03,1.05
Kepler-1445 b,Confirmed,,0.086,,,2016,Announced on a website,Primary Transit,,,Kepler-1445,482,1.13,1.26
Kepler-1446 b,Confirmed,,0.073,,,2016,Announced on a website,Primary Transit,,,Kepler-1446,162,0.81,0.75
Kepler-1447 b,Confirmed,,0.259,,,2016,Announced on a website,Primary Transit,,,Kepler-1447,871,0.97,0.95
Kepler-1448 b,Confirmed,,0.144,,,2016,Announced on a website,Primary Transit,,,Kepler-1448,786,0.95,0.93
Kepler-1449 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-1449,1321,1.08,1.1
Kepler-145 b,Confirmed,0.1167,0.228,,,2013,Published in a refereed paper,Primary Transit,,,Kepler-145,584.1,1.418,1.887
Kepler-145 c,Confirmed,0.2498,0.35,,,2013,Published in a refereed paper,Primary Transit,,,Kepler-145,584.1,1.418,1.887
Kepler-1450 b,Confirmed,,0.153,,,2016,Announced on a website,Primary Transit,,,Kepler-1450,490,0.71,0.68
Kepler-1451 b,Confirmed,,0.299,,,2016,Announced on a website,Primary Transit,,,Kepler-1451,1159,1,0.99
Kepler-1452 b,Confirmed,,0.241,,,2016,Announced on a website,Primary Transit,,,Kepler-1452,974,1.41,2.06
Kepler-1453 b,Confirmed,,0.238,,,2016,Announced on a website,Primary Transit,,,Kepler-1453,1284,0.97,0.94
Kepler-1454 b,Confirmed,,0.168,,,2016,Announced on a website,Primary Transit,,,Kepler-1454,795,0.9,0.86
Kepler-1455 b,Confirmed,,0.193,,,2016,Announced on a website,Primary Transit,,,Kepler-1455,392,0.62,0.6
Kepler-1456 b,Confirmed,,0.102,,,2016,Announced on a website,Primary Transit,,,Kepler-1456,379,0.64,0.62
Kepler-1457 b,Confirmed,,0.178,,,2016,Announced on a website,Primary Transit,,,Kepler-1457,728,1.01,1.01
Kepler-1458 b,Confirmed,,0.246,,,2016,Announced on a website,Primary Transit,,,Kepler-1458,642,0.96,0.94
Kepler-1459 b,Confirmed,,0.121,,,2016,Announced on a website,Primary Transit,,,Kepler-1459,435,0.78,0.74
Kepler-146 b,Confirmed,0.01815,0.1829,,0.0248,2014,Announced on a website,Primary Transit,,,Kepler-146,,,1.21
Kepler-146 c,Confirmed,0.02357,0.1954,,0.0327,2014,Announced on a website,Primary Transit,,,Kepler-146,,,1.21
Kepler-1460 b,Confirmed,,0.175,,,2016,Announced on a website,Primary Transit,,,Kepler-1460,574,0.7,0.67
Kepler-1461 b,Confirmed,,0.181,,,2016,Announced on a website,Primary Transit,,,Kepler-1461,752,0.79,0.74
Kepler-1462 b,Confirmed,,0.341,,,2016,Announced on a website,Primary Transit,,,Kepler-1462,1368,1,1
Kepler-1463 b,Confirmed,,0.166,,,2016,Announced on a website,Primary Transit,,,Kepler-1463,1341,0.96,0.95
Kepler-1464 b,Confirmed,,0.148,,,2016,Announced on a website,Primary Transit,,,Kepler-1464,692,1.02,1.01
Kepler-1464 c,Confirmed,,0.089,,,2016,Announced on a website,Primary Transit,,,Kepler-1464,692,1.02,1.01
Kepler-1465 b,Confirmed,,0.158,,,2016,Announced on a website,Primary Transit,,,Kepler-1465,350,0.75,0.71
Kepler-1466 b,Confirmed,,0.138,,,2016,Announced on a website,Primary Transit,,,Kepler-1466,686,1.01,1.02
Kepler-1467 b,Confirmed,,0.294,,,2016,Announced on a website,Primary Transit,,,Kepler-1467,890,0.86,0.82
Kepler-1468 b,Confirmed,,0.154,,,2016,Announced on a website,Primary Transit,,,Kepler-1468,1130,1.04,1.05
Kepler-1468 c,Confirmed,,0.103,,,2016,Announced on a website,Primary Transit,,,Kepler-1468,1130,1.04,1.05
Kepler-1469 b,Confirmed,,0.25,,,2016,Announced on a website,Primary Transit,,,Kepler-1469,1255,0.92,0.89
Kepler-147 b,Confirmed,,0.136,,0.113,2014,Announced on a website,Primary Transit,,,Kepler-147,,1.01,1.47
Kepler-147 c,Confirmed,,0.217,,0.216,2014,Announced on a website,Primary Transit,,,Kepler-147,,1.01,1.47
Kepler-1470 b,Confirmed,,0.095,,,2016,Announced on a website,Primary Transit,,,Kepler-1470,569,0.8,0.76
Kepler-1471 b,Confirmed,,0.126,,,2016,Announced on a website,Primary Transit,,,Kepler-1471,1059,0.95,0.93
Kepler-1472 b,Confirmed,,0.17,,,2016,Announced on a website,Primary Transit,,,Kepler-1472,1269,1.16,1.25
Kepler-1473 b,Confirmed,,0.106,,,2016,Announced on a website,Primary Transit,,,Kepler-1473,625,1.09,1.09
Kepler-1474 b,Confirmed,,0.193,,,2016,Announced on a website,Primary Transit,,,Kepler-1474,1214,1.04,1.04
Kepler-1475 b,Confirmed,,0.261,,,2016,Announced on a website,Primary Transit,,,Kepler-1475,1714,1.18,1.28
Kepler-1476 b,Confirmed,,0.149,,,2016,Announced on a website,Primary Transit,,,Kepler-1476,1218,0.98,0.96
Kepler-1477 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-1477,525,0.81,0.78
Kepler-1478 b,Confirmed,,0.154,,,2016,Announced on a website,Primary Transit,,,Kepler-1478,1405,1.04,1.06
Kepler-1479 b,Confirmed,,0.163,,,2016,Announced on a website,Primary Transit,,,Kepler-1479,619,0.99,0.98
Kepler-148 b,Confirmed,,0.161,,0.028,2014,Announced on a website,Primary Transit,,,Kepler-148,,,0.85
Kepler-148 c,Confirmed,,0.321,,0.05,2014,Announced on a website,Primary Transit,,,Kepler-148,,,0.85
Kepler-148 d,Confirmed,,0.774,,,2016,Announced on a website,Primary Transit,,,Kepler-148,,,0.85
Kepler-1480 b,Confirmed,,0.149,,,2016,Announced on a website,Primary Transit,,,Kepler-1480,540,0.85,0.81
Kepler-1481 b,Confirmed,,0.11,,,2016,Announced on a website,Primary Transit,,,Kepler-1481,493,0.8,0.75
Kepler-1482 b,Confirmed,,0.09,,,2016,Announced on a website,Primary Transit,,,Kepler-1482,442,0.88,0.84
Kepler-1483 b,Confirmed,,0.136,,,2016,Announced on a website,Primary Transit,,,Kepler-1483,1327,1.25,1.4
Kepler-1484 b,Confirmed,,0.188,,,2016,Announced on a website,Primary Transit,,,Kepler-1484,1095,0.94,0.92
Kepler-1485 b,Confirmed,,0.131,,,2016,Announced on a website,Primary Transit,,,Kepler-1485,550,1.11,1.12
Kepler-1486 b,Confirmed,,0.207,,,2016,Announced on a website,Primary Transit,,,Kepler-1486,1465,1.08,1.12
Kepler-1487 b,Confirmed,,0.19,,,2016,Announced on a website,Primary Transit,,,Kepler-1487,1094,1.38,1.63
Kepler-1488 b,Confirmed,,0.166,,,2016,Announced on a website,Primary Transit,,,Kepler-1488,618,1.05,1.31
Kepler-1489 b,Confirmed,,0.158,,,2016,Announced on a website,Primary Transit,,,Kepler-1489,870,0.93,0.9
Kepler-149 b,Confirmed,,0.376,,0.184,2014,Announced on a website,Primary Transit,,,Kepler-149,,,0.95
Kepler-149 c,Confirmed,,0.144,,0.281,2014,Announced on a website,Primary Transit,,,Kepler-149,,,0.95
Kepler-149 d,Confirmed,,0.353,,0.571,2014,Announced on a website,Primary Transit,,,Kepler-149,,,0.95
Kepler-1490 b,Confirmed,,0.271,,,2016,Announced on a website,Primary Transit,,,Kepler-1490,968,0.9,0.87
Kepler-1491 b,Confirmed,,0.135,,,2016,Announced on a website,Primary Transit,,,Kepler-1491,1312,1,0.99
Kepler-1492 b,Confirmed,,0.133,,,2016,Announced on a website,Primary Transit,,,Kepler-1492,371,0.77,0.72
Kepler-1493 b,Confirmed,,0.126,,,2016,Announced on a website,Primary Transit,,,Kepler-1493,572,1.06,1.29
Kepler-1494 b,Confirmed,,0.274,,,2016,Announced on a website,Primary Transit,,,Kepler-1494,1059,0.96,0.94
Kepler-1495 b,Confirmed,,0.262,,,2016,Announced on a website,Primary Transit,,,Kepler-1495,1307,1.03,1.04
Kepler-1496 b,Confirmed,,0.198,,,2016,Announced on a website,Primary Transit,,,Kepler-1496,1293,1.18,1.27
Kepler-1497 b,Confirmed,,0.148,,,2016,Announced on a website,Primary Transit,,,Kepler-1497,1122,0.96,0.95
Kepler-1498 b,Confirmed,,0.119,,,2016,Announced on a website,Primary Transit,,,Kepler-1498,740,0.86,0.81
Kepler-1499 b,Confirmed,,0.106,,,2016,Announced on a website,Primary Transit,,,Kepler-1499,310,0.82,0.78
Kepler-15 b,Confirmed,0.66,0.96,,0.05714,2011,Published in a refereed paper,Primary Transit,,,Kepler-15,,1.018,0.992
Kepler-150 b,Confirmed,,0.112,,0.044,2014,Announced on a website,Primary Transit,,,Kepler-150,,,0.94
Kepler-150 c,Confirmed,,0.329,,0.073,2014,Announced on a website,Primary Transit,,,Kepler-150,,,0.94
Kepler-150 d,Confirmed,,0.249,,0.104,2014,Announced on a website,Primary Transit,,,Kepler-150,,,0.94
Kepler-150 e,Confirmed,,0.278,,0.189,2014,Announced on a website,Primary Transit,,,Kepler-150,,,0.94
Kepler-150 f,Confirmed,0.0283,0.325,,1.24,2017,Published in a refereed paper,Primary Transit,,,Kepler-150,,,0.94
Kepler-1500 b,Confirmed,,0.107,,,2016,Announced on a website,Primary Transit,,,Kepler-1500,904,1,1
Kepler-1501 b,Confirmed,,0.139,,,2016,Announced on a website,Primary Transit,,,Kepler-1501,888,1.2,1.3
Kepler-1502 b,Confirmed,,0.284,,,2016,Announced on a website,Primary Transit,,,Kepler-1502,1540,1.44,1.72
Kepler-1503 b,Confirmed,,0.203,,,2016,Announced on a website,Primary Transit,,,Kepler-1503,850,0.77,0.74
Kepler-1504 b,Confirmed,,0.19,,,2016,Announced on a website,Primary Transit,,,Kepler-1504,1029,0.85,0.81
Kepler-1505 b,Confirmed,,0.083,,,2016,Announced on a website,Primary Transit,,,Kepler-1505,359,0.93,0.86
Kepler-1506 b,Confirmed,,0.118,,,2016,Announced on a website,Primary Transit,,,Kepler-1506,1318,0.95,0.93
Kepler-1507 b,Confirmed,,0.075,,,2016,Announced on a website,Primary Transit,,,Kepler-1507,342,0.89,0.85
Kepler-1508 b,Confirmed,,0.119,,,2016,Announced on a website,Primary Transit,,,Kepler-1508,892,1.14,1.22
Kepler-1509 b,Confirmed,,0.165,,,2016,Announced on a website,Primary Transit,,,Kepler-1509,1277,1,0.99
Kepler-151 b,Confirmed,,0.273,,0.116,2014,Announced on a website,Primary Transit,,,Kepler-151,,0.83,0.83
Kepler-151 c,Confirmed,,0.186,,0.16,2014,Announced on a website,Primary Transit,,,Kepler-151,,0.83,0.83
Kepler-1510 b,Confirmed,,0.3,,,2016,Announced on a website,Primary Transit,,,Kepler-1510,1615,1.19,1.28
Kepler-1511 b,Confirmed,,0.15,,,2016,Announced on a website,Primary Transit,,,Kepler-1511,897,1.17,1.29
Kepler-1512 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-1512,162,0.73,0.67
Kepler-1513 b,Confirmed,,0.755,,,2016,Announced on a website,Primary Transit,,,Kepler-1513,384,0.99,0.97
Kepler-1514 b,Confirmed,,1.055,,,2016,Announced on a website,Primary Transit,,,Kepler-1514,379,1.21,1.22
Kepler-1515 b,Confirmed,,0.852,,,2016,Announced on a website,Primary Transit,,,Kepler-1515,504,1.3,1.41
Kepler-1516 b,Confirmed,,0.156,,,2016,Announced on a website,Primary Transit,,,Kepler-1516,872,1.04,1.07
Kepler-1517 b,Confirmed,,0.871,,,2016,Announced on a website,Primary Transit,,,Kepler-1517,869,1.58,1.95
Kepler-1518 b,Confirmed,,0.272,,,2016,Announced on a website,Primary Transit,,,Kepler-1518,1140,1.54,1.88
Kepler-1519 b,Confirmed,,0.63,,,2016,Announced on a website,Primary Transit,,,Kepler-1519,858,0.94,0.91
Kepler-152 b,Confirmed,,0.249,,0.124,2014,Announced on a website,Primary Transit,,,Kepler-152,,,0.72
Kepler-152 c,Confirmed,,0.213,,0.356,2014,Announced on a website,Primary Transit,,,Kepler-152,,,0.72
Kepler-1520 b,Confirmed,6.30E-05,0.075832056,,0.013,2012,Published in a refereed paper,Primary Transit,,Na,Kepler-1520,470,0.7,0.65
Kepler-1521 b,Confirmed,,0.223,,,2016,Announced on a website,Primary Transit,,,Kepler-1521,227,0.81,0.76
Kepler-1522 b,Confirmed,,0.154,,,2016,Announced on a website,Primary Transit,,,Kepler-1522,690,0.96,0.93
Kepler-1523 b,Confirmed,,0.141,,,2016,Announced on a website,Primary Transit,,,Kepler-1523,918,0.97,0.96
Kepler-1524 b,Confirmed,,0.316,,,2016,Announced on a website,Primary Transit,,,Kepler-1524,506,1.17,1.25
Kepler-1525 b,Confirmed,,0.081,,,2016,Announced on a website,Primary Transit,,,Kepler-1525,396,1.07,1.04
Kepler-1526 b,Confirmed,,0.217,,,2016,Announced on a website,Primary Transit,,,Kepler-1526,576,0.73,0.69
Kepler-1527 b,Confirmed,,0.426,,,2016,Announced on a website,Primary Transit,,,Kepler-1527,1560,1.21,1.32
Kepler-1528 b,Confirmed,,0.13,,,2016,Announced on a website,Primary Transit,,,Kepler-1528,916,1.03,1.03
Kepler-1529 b,Confirmed,,0.187,,,2016,Announced on a website,Primary Transit,,,Kepler-1529,683,0.81,0.77
Kepler-153 b,Confirmed,,0.261,,0.129,2014,Announced on a website,Primary Transit,,,Kepler-153,,,0.89
Kepler-153 c,Confirmed,,0.226,,0.237,2014,Announced on a website,Primary Transit,,,Kepler-153,,,0.89
Kepler-1530 b,Confirmed,,0.146,,,2016,Announced on a website,Primary Transit,,,Kepler-1530,552,0.92,0.88
Kepler-1530 c,Confirmed,,0.147,,,2016,Announced on a website,Primary Transit,,,Kepler-1530,552,0.92,0.88
Kepler-1531 b,Confirmed,,0.099,,,2016,Announced on a website,Primary Transit,,,Kepler-1531,670,1.16,1.27
Kepler-1532 b,Confirmed,,0.12,,,2016,Announced on a website,Primary Transit,,,Kepler-1532,824,0.91,0.88
Kepler-1533 b,Confirmed,,0.309,,,2016,Announced on a website,Primary Transit,,,Kepler-1533,852,1.31,1.51
Kepler-1534 b,Confirmed,,0.169,,,2016,Announced on a website,Primary Transit,,,Kepler-1534,1107,0.9,0.86
Kepler-1535 b,Confirmed,,0.227,,,2016,Announced on a website,Primary Transit,,,Kepler-1535,879,1.08,1.11
Kepler-1536 b,Confirmed,,0.28,,,2016,Announced on a website,Primary Transit,,,Kepler-1536,401,0.71,0.67
Kepler-1537 b,Confirmed,,0.105,,,2016,Announced on a website,Primary Transit,,,Kepler-1537,503,0.81,0.77
Kepler-1538 b,Confirmed,,0.252,,,2016,Announced on a website,Primary Transit,,,Kepler-1538,1291,1.03,1.03
Kepler-1539 b,Confirmed,,0.241,,,2016,Announced on a website,Primary Transit,,,Kepler-1539,788,0.84,0.8
Kepler-154 b,Confirmed,,0.202,,0.198,2014,Announced on a website,Primary Transit,,,Kepler-154,,0.89,1
Kepler-154 c,Confirmed,,0.263,,0.303,2014,Announced on a website,Primary Transit,,,Kepler-154,,0.89,1
Kepler-154 d,Confirmed,,0.343,,,2016,Announced on a website,Primary Transit,,,Kepler-154,,0.89,1
Kepler-154 e,Confirmed,,0.134,,,2016,Announced on a website,Primary Transit,,,Kepler-154,,0.89,1
Kepler-154 f,Confirmed,,0.134,,,2016,Announced on a website,Primary Transit,,,Kepler-154,,0.89,1
Kepler-154 g,Confirmed,,0.9145,,,2019,Published in a refereed paper,Radial Velocity,,,Kepler-154,,0.89,1
Kepler-1540 b,Confirmed,,0.222,,,2016,Announced on a website,Primary Transit,,,Kepler-1540,262,0.74,0.69
Kepler-1541 b,Confirmed,,0.103,,,2016,Announced on a website,Primary Transit,,,Kepler-1541,414,0.86,0.81
Kepler-1542 b,Confirmed,,0.068,,,2016,Announced on a website,Primary Transit,,,Kepler-1542,336,0.94,0.99
Kepler-1542 c,Confirmed,,0.058,,,2016,Announced on a website,Primary Transit,,,Kepler-1542,336,0.94,0.99
Kepler-1542 d,Confirmed,,0.078,,,2016,Announced on a website,Primary Transit,,,Kepler-1542,336,0.94,0.99
Kepler-1542 e,Confirmed,,0.068,,,2016,Announced on a website,Primary Transit,,,Kepler-1542,336,0.94,0.99
Kepler-1543 b,Confirmed,,0.242,,,2016,Announced on a website,Primary Transit,,,Kepler-1543,1114,1.39,1.65
Kepler-1544 b,Confirmed,,0.159,,,2016,Announced on a website,Primary Transit,,,Kepler-1544,349,0.81,0.74
Kepler-1545 b,Confirmed,,0.241,,,2016,Announced on a website,Primary Transit,,,Kepler-1545,688,0.84,0.8
Kepler-1546 b,Confirmed,,0.279,,,2016,Announced on a website,Primary Transit,,,Kepler-1546,994,0.95,0.93
Kepler-1547 b,Confirmed,,0.08,,,2016,Announced on a website,Primary Transit,,,Kepler-1547,665,1.12,1.18
Kepler-1548 b,Confirmed,,0.236,,,2016,Announced on a website,Primary Transit,,,Kepler-1548,1150,0.99,0.97
Kepler-1549 b,Confirmed,,0.229,,,2016,Announced on a website,Primary Transit,,,Kepler-1549,792,0.88,0.84
Kepler-155 b,Confirmed,,0.186,,0.056,2014,Announced on a website,Primary Transit,,,Kepler-155,,0.58,0.62
Kepler-155 c,Confirmed,,0.2,,0.242,2014,Announced on a website,Primary Transit,,,Kepler-155,,0.58,0.62
Kepler-1550 b,Confirmed,,0.269,,,2016,Announced on a website,Primary Transit,,,Kepler-1550,1202,1.07,1.11
Kepler-1551 b,Confirmed,,0.237,,,2016,Announced on a website,Primary Transit,,,Kepler-1551,1560,1.14,1.22
Kepler-1552 b,Confirmed,,0.22,,,2016,Announced on a website,Primary Transit,,,Kepler-1552,618,0.85,0.78
Kepler-1553 b,Confirmed,,0.103,,,2016,Announced on a website,Primary Transit,,,Kepler-1553,719,0.85,0.81
Kepler-1554 b,Confirmed,,0.259,,,2016,Announced on a website,Primary Transit,,,Kepler-1554,982,0.84,0.81
Kepler-1555 b,Confirmed,,0.144,,,2016,Announced on a website,Primary Transit,,,Kepler-1555,1382,1.04,1.06
Kepler-1556 b,Confirmed,,0.175,,,2016,Announced on a website,Primary Transit,,,Kepler-1556,1060,0.97,0.95
Kepler-1557 b,Confirmed,,0.136,,,2016,Announced on a website,Primary Transit,,,Kepler-1557,1532,1.11,1.17
Kepler-1558 b,Confirmed,,0.061,,,2016,Announced on a website,Primary Transit,,,Kepler-1558,343,0.83,0.79
Kepler-1559 b,Confirmed,,0.064,,,2016,Announced on a website,Primary Transit,,,Kepler-1559,580,0.86,0.82
Kepler-156 b,Confirmed,,0.205,,0.054,2014,Announced on a website,Primary Transit,,,Kepler-156,,,0.81
Kepler-156 c,Confirmed,,0.227,,0.117,2014,Announced on a website,Primary Transit,,,Kepler-156,,,0.81
Kepler-1560 b,Confirmed,,0.079,,,2016,Announced on a website,Primary Transit,,,Kepler-1560,529,1.02,1.02
Kepler-1561 b,Confirmed,,0.097,,,2016,Announced on a website,Primary Transit,,,Kepler-1561,993,1.07,1.11
Kepler-1562 b,Confirmed,,0.317,,,2016,Announced on a website,Primary Transit,,,Kepler-1562,1315,1.02,1.05
Kepler-1563 b,Confirmed,,0.067,,,2016,Announced on a website,Primary Transit,,,Kepler-1563,547,1,0.99
Kepler-1564 b,Confirmed,,0.131,,,2016,Announced on a website,Primary Transit,,,Kepler-1564,872,0.93,0.9
Kepler-1565 b,Confirmed,,0.106,,,2016,Announced on a website,Primary Transit,,,Kepler-1565,657,0.76,0.73
